;
; catches-in-kilos from all cod fleets
;
;<year> <step> <area> <fleet> <biomass>
2017 2 1 catch.gill  3605763.4
2017 2 2 catch.gill 16626091.5
2017 3 1 catch.gill   232064.7
2017 4 1 catch.gill   242980.0
1989 2 1 catch.trawlothers  12482974.1
1989 2 2 catch.trawlothers  19564703.5
1989 3 1 catch.trawlothers   7343533.5
1989 4 1 catch.trawlothers   8602472.4
1990 1 1 catch.trawlothers   3229768.0
1990 1 2 catch.trawlothers  23467992.6
1990 2 1 catch.trawlothers   5081526.0
1990 2 2 catch.trawlothers   8038632.0
1990 3 1 catch.trawlothers   4806942.6
1990 4 1 catch.trawlothers  11722844.5
1991 1 1 catch.trawlothers   5823446.3
1991 1 2 catch.trawlothers  39519109.0
1991 2 1 catch.trawlothers   5324892.2
1991 2 2 catch.trawlothers  11326810.8
1991 3 1 catch.trawlothers   4309651.9
1991 4 1 catch.trawlothers   8350787.2
1992 1 1 catch.trawlothers   9450143.5
1992 1 2 catch.trawlothers  45219922.1
1992 2 1 catch.trawlothers   7736587.3
1992 2 2 catch.trawlothers  14957721.9
1992 3 1 catch.trawlothers  12167796.9
1992 4 1 catch.trawlothers  18885123.3
1993 1 1 catch.trawlothers   8975375.8
1993 1 2 catch.trawlothers  57668591.3
1993 2 1 catch.trawlothers  14298714.1
1993 2 2 catch.trawlothers  33563074.9
1993 3 1 catch.trawlothers  12882010.9
1993 4 1 catch.trawlothers  21906608.7
1994 1 1 catch.trawlothers  12005152.1
1994 1 2 catch.trawlothers  76305285.8
1994 2 1 catch.trawlothers  24378093.0
1994 2 2 catch.trawlothers  43549790.0
1994 3 1 catch.trawlothers  32154272.9
1994 4 1 catch.trawlothers  51585525.8
1995 1 1 catch.trawlothers  14213068.4
1995 1 2 catch.trawlothers  68588813.0
1995 2 1 catch.trawlothers  22516642.1
1995 2 2 catch.trawlothers  45304542.8
1995 3 1 catch.trawlothers  20988471.3
1995 4 1 catch.trawlothers  68882284.9
1996 1 1 catch.trawlothers  17283678.0
1996 1 2 catch.trawlothers  71629445.8
1996 2 1 catch.trawlothers  22022848.6
1996 2 2 catch.trawlothers  43146317.8
1996 3 1 catch.trawlothers  18521326.7
1996 4 1 catch.trawlothers  57485514.9
1997 1 1 catch.trawlothers  14772628.4
1997 1 2 catch.trawlothers  62989207.1
1997 2 1 catch.trawlothers  39288955.0
1997 2 2 catch.trawlothers  59765870.0
1997 3 1 catch.trawlothers  31494984.3
1997 4 1 catch.trawlothers  45430453.1
1998 1 1 catch.trawlothers  13090246.2
1998 1 2 catch.trawlothers  49160867.5
1998 2 1 catch.trawlothers  24600234.0
1998 2 2 catch.trawlothers  44912857.3
1998 3 1 catch.trawlothers  22975148.0
1998 4 1 catch.trawlothers  33554484.0
1999 1 1 catch.trawlothers  10484624.2
1999 1 2 catch.trawlothers  41465134.5
1999 2 1 catch.trawlothers  20328997.8
1999 2 2 catch.trawlothers  33084016.7
1999 3 1 catch.trawlothers  22223849.2
1999 4 1 catch.trawlothers  31004550.2
2000 1 1 catch.trawlothers  10190892.1
2000 1 2 catch.trawlothers  36598856.7
2000 2 1 catch.trawlothers  24094247.6
2000 2 2 catch.trawlothers  33264548.2
2000 3 1 catch.trawlothers  11560267.7
2000 4 1 catch.trawlothers  22141670.1
